code,fund_type,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
005668,hh,融通新能源汽车主题精选混合A,2021-11-12,3.52,3.52,1.15,3.14,17.61,3.58,47.83,51.49,195.57,321.3,35.18,252.0,0.15%,http://fund.eastmoney.com/005668.html
009853,hh,中加优势企业混合A,2021-11-12,1.6951,1.6951,1.13,1.22,17.59,8.63,31.87,53.97,,,35.27,69.51,0.15%,http://fund.eastmoney.com/009853.html
006348,hh,银华盛利混合发起式,2021-11-12,3.9897,3.9897,1.22,4.66,17.58,10.29,57.78,82.75,206.97,,59.45,298.97,0.15%,http://fund.eastmoney.com/006348.html
001323,hh,东吴移动互联混合A,2021-11-12,2.4533,2.4533,-0.35,1.26,17.56,7.01,62.35,60.68,154.23,193.46,47.09,145.33,0.15%,http://fund.eastmoney.com/001323.html
009835,hh,融通新能源汽车主题精选混合C,2021-11-12,3.4986,3.4986,1.14,3.14,17.56,3.46,47.46,50.73,,,34.59,89.11,0.00%,http://fund.eastmoney.com/009835.html
002170,hh,东吴移动互联混合C,2021-11-12,2.4466,2.4466,-0.35,1.25,17.54,6.96,62.2,60.37,156.19,195.48,46.87,142.0,0.00%,http://fund.eastmoney.com/002170.html
009854,hh,中加优势企业混合C,2021-11-12,1.6742,1.6742,1.14,1.21,17.52,8.43,31.35,52.6,,,34.36,67.42,0.00%,http://fund.eastmoney.com/009854.html
005360,hh,汇安资产轮动混合,2021-11-12,1.1604,1.1604,0.3,5.37,17.33,10.05,45.71,46.04,40.14,27.32,33.1,16.04,0.15%,http://fund.eastmoney.com/005360.html
260111,hh,景顺长城公司治理混合,2021-11-12,2.292,3.48,0.84,4.71,17.3,3.24,51.69,62.23,135.34,182.27,43.42,441.16,0.15%,http://fund.eastmoney.com/260111.html
004374,hh,华泰保兴吉年丰混合发起A,2021-11-12,3.1197,3.2147,1.38,8.37,17.29,3.7,31.51,44.66,150.94,256.66,29.87,239.09,0.15%,http://fund.eastmoney.com/004374.html
320003,hh,诺安先锋混合A,2021-11-12,2.9386,4.8221,1.73,5.71,17.28,6.23,23.85,39.67,119.56,147.46,41.05,1006.1,0.15%,http://fund.eastmoney.com/320003.html
004375,hh,华泰保兴吉年丰混合发起C,2021-11-12,3.0855,3.1805,1.37,8.36,17.27,3.64,31.37,44.37,149.9,254.33,29.64,235.43,0.00%,http://fund.eastmoney.com/004375.html
000541,hh,华商创新成长混合发起式,2021-11-12,4.021,4.276,1.03,4.71,17.23,15.02,47.18,48.82,202.56,351.29,39.91,389.63,0.15%,http://fund.eastmoney.com/000541.html
630015,hh,华商大盘量化精选混合,2021-11-12,3.108,3.788,0.39,3.6,17.19,7.62,41.66,53.56,136.53,168.86,36.86,356.24,0.15%,http://fund.eastmoney.com/630015.html
270028,hh,广发制造业精选混合A,2021-11-12,7.373,7.373,1.18,3.73,17.16,3.44,46.06,45.25,185.78,295.97,33.33,637.3,0.15%,http://fund.eastmoney.com/270028.html
007163,hh,浦银安盛环保新能源A,2021-11-12,2.9105,2.9105,1.67,3.69,17.16,8.19,62.86,75.09,191.9,,50.77,191.05,0.15%,http://fund.eastmoney.com/007163.html
001143,hh,华商量化进取混合,2021-11-12,1.811,1.811,0.67,3.49,17.14,6.28,28.9,28.17,111.32,181.21,19.46,81.1,0.15%,http://fund.eastmoney.com/001143.html
590008,hh,中邮战略新兴产业混合,2021-11-12,7.816,7.816,0.08,4.21,17.13,2.6,42.16,46.01,111.76,162.81,26.41,681.6,0.15%,http://fund.eastmoney.com/590008.html
010023,hh,广发制造业精选混合C,2021-11-12,7.342,7.342,1.19,3.73,17.13,3.35,45.79,44.7,,,32.89,49.62,0.00%,http://fund.eastmoney.com/010023.html
530001,hh,建信恒久价值混合,2021-11-12,1.8947,5.5574,0.81,2.3,17.12,10.84,44.76,63.44,188.4,259.2,39.33,1118.8,0.15%,http://fund.eastmoney.com/530001.html
007164,hh,浦银安盛环保新能源C,2021-11-12,2.8769,2.8769,1.66,3.68,17.12,8.09,62.57,74.47,189.54,,50.32,187.69,0.00%,http://fund.eastmoney.com/007164.html
000756,gp,建信潜力新蓝筹股票,2021-11-12,3.644,3.644,2.19,1.9,17.02,17.4,41.68,65.41,170.93,205.96,50.77,264.4,0.15%,http://fund.eastmoney.com/000756.html
004890,hh,中邮健康文娱混合,2021-11-12,2.9363,2.9363,0.02,4.4,17.01,2.59,42.81,52.8,164.72,263.85,35.4,193.63,0.15%,http://fund.eastmoney.com/004890.html
009491,gp,宝盈创新驱动股票A,2021-11-12,1.4682,1.4682,0.25,4.0,16.99,9.72,44.47,43.77,,,31.21,46.82,0.15%,http://fund.eastmoney.com/009491.html
009492,gp,宝盈创新驱动股票C,2021-11-12,1.459,1.459,0.25,4.0,16.94,9.58,44.1,43.05,,,30.64,45.9,0.00%,http://fund.eastmoney.com/009492.html
001225,hh,中邮趋势精选灵活配置混合,2021-11-12,1.015,1.015,0.0,4.21,16.94,2.53,42.36,50.15,107.14,124.56,32.85,1.5,0.15%,http://fund.eastmoney.com/001225.html
