,fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
11,gp,011143,创金合信新材料新能源股票C,2021-06-25,1.2264,1.2264,1.8,6.9,15.27,36.13,,,,,22.55,22.64,0.00%,http://fund.eastmoney.com/011143.html
1598,hh,001933,华商新兴活力混合,2021-06-25,1.982,1.982,1.02,6.27,13.06,36.03,16.04,34.01,135.67,106.24,13.06,98.2,0.15%,http://fund.eastmoney.com/001933.html
285,gp,000696,汇添富环保行业股票,2021-06-25,2.593,2.593,1.69,3.64,13.23,35.97,18.78,88.44,163.25,131.52,15.86,159.3,0.15%,http://fund.eastmoney.com/000696.html
247,gp,003069,光大创业板量化优选A,2021-06-25,1.9137,1.9137,2.36,3.77,7.1,35.88,24.44,46.68,117.47,129.98,21.24,91.37,0.15%,http://fund.eastmoney.com/003069.html
2078,hh,040015,华安动态灵活配置混合,2021-06-25,3.504,4.117,0.43,4.07,11.88,35.87,17.39,41.35,151.72,135.96,15.3,439.76,0.15%,http://fund.eastmoney.com/040015.html
1688,hh,001322,东吴新趋势价值线混合,2021-06-25,1.1179,1.1179,0.95,5.33,13.29,35.82,13.78,53.94,120.49,100.34,12.51,11.79,0.15%,http://fund.eastmoney.com/001322.html
370,gp,011146,创金气候变化责任投资股票A,2021-06-25,1.2173,1.2173,1.67,3.46,18.22,35.8,,,,,20.17,21.73,0.15%,http://fund.eastmoney.com/011146.html
374,gp,011147,创金气候变化责任投资股票C,2021-06-25,1.2149,1.2149,1.67,3.45,18.17,35.65,,,,,19.93,21.49,0.00%,http://fund.eastmoney.com/011147.html
1512,gp,001404,招商移动互联网产业股票基金,2021-06-25,1.41,1.41,-0.07,0.36,19.39,35.58,18.69,20.51,97.76,93.68,15.01,41.0,0.15%,http://fund.eastmoney.com/001404.html
125,gp,008887,华夏国证半导体芯片ETF联接A,2021-06-25,1.3376,1.3376,1.21,4.49,19.99,35.49,23.89,25.55,,,21.95,33.76,0.12%,http://fund.eastmoney.com/008887.html
328,gp,160225,国泰国证新能源汽车指数,2021-06-25,2.0167,2.0167,1.48,3.56,12.57,35.43,17.72,94.1,171.24,126.24,15.68,99.65,0.12%,http://fund.eastmoney.com/160225.html
126,gp,008888,华夏国证半导体芯片ETF联接C,2021-06-25,1.3334,1.3334,1.21,4.49,19.95,35.38,23.7,25.18,,,21.78,33.34,0.00%,http://fund.eastmoney.com/008888.html
3096,hh,006049,恒越研究精选混合A/B,2021-06-25,2.7407,2.7407,1.14,2.83,6.61,35.19,35.81,116.76,161.22,,30.0,174.07,0.15%,http://fund.eastmoney.com/006049.html
3097,hh,007192,恒越研究精选混合C,2021-06-25,2.7295,2.7295,1.15,2.83,6.6,35.12,35.68,116.34,159.78,,29.88,138.09,0.00%,http://fund.eastmoney.com/007192.html
